Noise Frequency,Noise Temperature,Gain Frequency,Gain
6.49404653221275,2.60925290736551,5.12685142419643,22.4792742143402
6.61811200038711,2.71843901465149,5.25104741784867,22.3886693234903
6.74227736024277,2.67472425509456,5.37523393739963,22.3125661236632
6.86637252594401,2.73845334791372,5.49949331730089,22.1249380143041
6.99045149299422,2.82697717589659,5.62367329521049,22.0588478868498
7.11458040588508,2.83905057045802,5.74786116820449,21.9806730168766
7.23875251517867,2.78500467124954,5.87213024778088,21.778197938137
7.36291247548399,2.74955482341385,5.99642639621805,21.5342894564754
7.48713588050582,2.61699226285361,6.12054930394615,21.5555547535152
7.61131608912491,2.55054899606327,6.24482650418077,21.3406496538991
7.73551384628262,2.4572447661789,6.36893858436454,21.3784883121077
7.85962521063488,2.49617912383436,6.49316570720669,21.2402350078975
7.983821617905,2.4049411218803,6.6172344772132,21.3443671107815
8.10793973169518,2.4335443398842,6.7414223502072,21.2661922408082
8.23198495155576,2.57372386612482,6.86551412874538,21.3351059512085
8.35593365445401,2.86163868938257,6.98963838991652,21.3542995781022
8.47991205487913,3.10409649817351,7.11377753896109,21.3507048333887
8.60406661563411,3.07691156205906,7.23805744608179,21.1316563934803
8.727902602919,3.53735641749765,7.36213162986045,21.2275018157799
8.84059091855085,3.78734679899698,7.48621258085432,21.312988887349
8.95318399211419,4.1831210400237,7.61043835025343,21.1768072532848
9.08164625182834,4.20606331407059,7.73476427443748,20.8873220284089
9.1373915080768,5.08168271031775,7.85877619983632,21.0784642774293
9.1553536859868,5.65753953456996,7.98285309050106,21.1701663594367
9.20951999516788,6.23712438836229,8.10701163889587,21.1368776759624
9.30160707641298,6.35206041681089,8.23116928499531,21.1049701059189
9.33699415447596,6.88668189502754,8.34258183995718,21.1484968340757
9.35923017772206,7.39839008139914,8.404830644174,21.304204139726
9.37955219536119,7.96083220279033,8.45147919021014,20.7235075989508
9.40177782447288,8.48845034422531,8.52966695172832,20.2334921027539
9.41273311014729,8.99338362279229,8.63107421285526,20.4771926955646
9.42815516784141,9.57070741687936,8.69398939185407,20.9084391262207
9.47332043946089,10.3007527007474,8.74714999941696,20.1484472762172
9.51008470497841,10.8386043899611,8.79237718143966,19.6047213425481
9.60156064711747,30.8901969493427,8.77408265872645,19.2291124896167
9.60322134631908,11.0743961538816,8.8914678146699,20.262340067894
9.59232606614758,10.4776144521947,8.93414814119411,19.5105131480688
9.61589105372123,11.8340918885429,8.95479762165085,18.9959247205021
9.62484061556958,12.5301491228407,8.97780025456988,18.3342090341675
9.63538688616277,13.6611481524007,9.06326649381643,17.7319424673026
9.66963619797575,14.6286874824279,9.16725868579514,18.2899759806097
9.63581809425296,13.0011123023426,9.17872085799595,19.0630572720991
9.6892553291493,15.8482551202417,9.23595908160308,17.5980764778802
9.6983115899692,15.2294035364729,9.2514869130365,16.8619076760542
9.69553239641268,16.6044518262923,9.23730395283686,18.4184975567336
9.72004671492871,30.9026732703496,9.2522773252039,16.2278442479586
9.75936769444987,13.899920327121,9.31691870875291,15.7442293021974
9.75878367402296,14.7938609272448,9.30095583761686,15.2095368036475
9.77114378470746,13.1484753903563,9.40568200591755,15.9565550410362
9.77531727715067,12.5181909186865,9.45376053679231,15.2982735153478
9.79227654483023,11.8941468873303,9.4880365845342,14.6545414243601
9.79199019939057,11.4687551127691,9.51750447145338,13.9674334537227
9.80656736598056,10.7482519742579,9.54537325897618,13.2603244994903
9.81680330802419,9.88657144403405,9.57500260842751,12.8196090382333
9.81508309056481,9.22939880010759,9.61178404716308,32.5243119041272
9.82574438486486,8.53920879148932,9.70294160394632,13.9092455106331
9.83661792220418,7.93542695846811,9.73591642899245,32.5310755101443
9.85015009528261,7.37497523132244,9.71841054556926,13.2632173787198
9.88808585752686,6.88738143677166,9.73381453195179,12.7166140681148
9.88521792493171,6.34185200979566,9.82546304017218,12.0633738827069
9.88201007232271,5.82308899207357,9.86004881082182,32.5378391161613
9.89345026499042,5.15394570245761,9.85941421521658,11.916913600669
9.8885277143017,4.48366361167784,9.89726806904583,12.5828980893173
9.89684945629027,30.8998513453516,9.93872531404866,13.2855923558307
9.96782937385243,8.21109543013925,9.98420420118287,32.5093843296946
9.96440935009103,7.52355789777301,9.97535142048971,13.9800820019422
9.97500691255563,9.15184029896292,,
9.97156051456203,8.66918553310362,,
9.96134011068871,7.03939317765849,,
9.95592773641612,6.68702212213572,,
9.95637319931922,6.00516690513357,,
9.98768552921585,9.89789892928415,,
10.0078135583669,30.9100672945959,,
